Date,S&P,Dividend,Earnings,CPI,Date Fraction,Long Interest Rate,Real Price,Real Dividend,Real Total Return Price,Real Earnings,Real TR Scaled Earnings,CAPE,TR CAPE,Excess CAPE Yield,Monthly Bond Returns,Monthly Real Bond Returns,10 Year Real Stock Return,10 Year Real Bond Return,10 Year Excess Return
1938.1,13.06,0.61,0.626667,14,1938.7916666666051,2.4099999999999997,303.56850571428583,14.178927142857148,10770.825470056805,14.566337271857147,516.8239574918903,16.06114764333344,21.007760685339594,0.017787274932387652,1.0034783166062096,14.853117955126233,0.020099522250726087,-0.03131410402448809,0.051413626275214175
1938.11,13.07,0.56,0.633333,14,1938.8749999999384,2.393333333333333,303.80094714285724,13.016720000000007,10817.559526460827,14.721282728142864,524.1864902503455,16.14957180071551,21.10073946765083,0.017613036620319072,1.0034656030482938,14.904781801963539,0.015179610781114627,-0.03057138038039353,0.04575099116150816
1938.12,12.69,0.51,0.64,14,1938.9583333332716,2.3766666666666665,294.968172857143,11.854512857142861,10538.22315766354,14.876251428571434,531.4785516867349,15.756484438994004,20.558601794186643,0.019895869007101587,1.0034528907793234,14.956435859210577,0.01811058708591262,-0.030224374065182524,0.048334961151095146
1939.01,12.5,0.513333,0.663333,14,1939.041666666605,2.36,290.5517857142858,11.93198558528572,10415.964613591568,15.418607013857146,552.7402444022028,15.599634410919284,20.324966524351204,0.02070066816154087,1.0030715805683288,15.008078798680387,0.021381882689988307,-0.02987516925474043,0.05125705194472874
1939.02,12.4,0.516667,0.686667,13.9,1939.1249999999382,2.3474999999999997,290.3009496402879,12.09588070546763,10443.107758119955,16.075813079568352,578.3014092697545,15.66469692895477,20.378795316805157,0.019857014083435126,1.003061826930466,15.162480755856766,0.018527802313304642,-0.02987687810634021,0.04840468041964485
1939.03,12.39,0.52,0.71,13.9,1939.2083333332714,2.335,290.06683597122316,12.173910791366911,10471.180628437482,16.622070503597126,600.0434419847143,15.729223743214224,20.428999210181157,0.020294782447704884,1.0030520738380837,15.208905647767722,0.019772370842840337,-0.029993960539809184,0.04976633138264952
1939.04,10.83,0.523333,0.726667,13.8,1939.2916666666047,2.3225,255.3823869565218,12.340723057536236,9256.22396359726,17.135545058405803,621.0704061823943,13.916994579812403,18.05203776064045,0.028569036467798195,1.0030423212916948,15.365870179430152,0.03242806109918028,-0.031216334501771414,0.0636443956009517
1939.05,11.23,0.526667,0.743333,13.8,1939.374999999938,2.31,264.8147927536233,12.419342159855077,9635.608564486018,17.528546245942035,637.7974907448873,14.502929499657778,18.78255294980136,0.025213062237963657,1.0030325692918127,15.41261809344245,0.028539893194470922,-0.03092500054130587,0.05946489373577679
1939.06,11.43,0.53,0.76,13.8,1939.4583333332712,2.2975000000000003,269.530995652174,12.497937681159424,9845.10940371089,17.92157101449276,654.6179481032613,14.833828921489793,19.177986644847667,0.0232257148276565,1.0030228178389522,15.459357925779061,0.020752726070569327,-0.03144511621502333,0.052197842285592655
1939.07,11.71,0.54,0.776667,13.8,1939.5416666666044,2.285,276.13367971014503,12.733747826086962,10125.044710465576,18.314595783043483,671.5446712334045,15.270952598570265,19.70650314970288,0.020283560367290794,1.0030130669336272,15.506088748695856,0.024962247495403656,-0.0307438097296876,0.055706057225091254
1939.08,11.54,0.55,0.793333,13.8,1939.6249999999377,2.2725,272.1249072463769,12.969557971014497,10017.684074124885,18.707596970579715,688.6793205873239,15.120082343333994,19.47632269488881,0.02106196670056712,1.0030033165763537,15.55280963197444,0.029826313231360313,-0.03126371444582321,0.06109002767718352
1939.09,12.77,0.56,0.81,14.1,1939.708333333271,2.26,294.7225432624115,12.92440283687944,10889.215323761133,18.6942255319149,690.7019899958117,16.452835577060974,21.14500033972481,0.017934373511527386,1.0029935667676464,15.267614969696748,0.022741005106948542,-0.02969610919625154,0.05243711430320008
1939.1,12.9,0.58,0.84,14,1939.7916666666042,2.2475,299.849442857143,13.48160285714286,11120.149767770758,19.525080000000006,724.1027755757701,16.82120480626565,21.56969282096801,0.016031261671560312,1.0029838175080226,15.422700448737618,0.02463749491137701,-0.029681368728167845,0.054318863639544857
1939.11,12.67,0.6,0.87,14,1939.8749999999375,2.2350000000000003,294.5032900000001,13.946485714285718,10964.984887290233,20.222404285714294,752.9231927342149,16.599238509946655,21.23727018387068,0.016951215255656564,1.0029740687979982,15.46871897235755,0.027644050803827813,-0.030198812680253595,0.05784286348408141
1939.12,12.37,0.62,0.9,14,1939.9583333332707,2.2225,287.5300471428572,14.411368571428577,10750.070029594066,20.91972857142858,782.139290754621,16.280412901283846,20.784015129907626,0.018823727111642034,1.0029643206380907,15.514724006798241,0.03385970447103115,-0.02948810779112232,0.06334781226215347
1940.01,12.3,0.623333,0.93,13.9,1940.041666666604,2.21,287.9598129496404,14.593077567913676,10811.604687201467,21.772571223021593,817.4627934225499,16.378480342613678,20.860773184593906,0.018449926158429497,1.0037715554144664,15.672662210584335,0.03640069618915609,-0.029878658206996644,0.06627935439615273
1940.02,12.22,0.626667,0.96,14,1940.1249999999372,2.1883333333333335,284.04342571428583,14.566337271857147,10710.136915485748,22.31437714285715,841.3855514620553,16.216119847731058,20.606533623194935,0.020555367211535183,1.0037555134840215,15.619402720856597,0.039971189749723024,-0.029539517735034382,0.0695107074847574
